feature,coefficient,absolute_coefficient
beta_power,0.6523893318106077,0.6523893318106077
gamma_power,-0.6661450647122756,0.6661450647122756
standard_deviation,-0.7287278351373276,0.7287278351373276
rms,-0.7432239001012403,0.7432239001012403
alpha_power,0.8096781162953873,0.8096781162953873
theta_power,0.983639869434717,0.983639869434717
delta_power,1.640814500169928,1.640814500169928
mean_absolute_amplitude,2.3775225171940044,2.3775225171940044
line_length,2.7374993868944433,2.7374993868944433
